Country,safe_water,sanitation_service,air_pollution,slum_population,co2_emissions,smoking_male,smoking_female,tuberculosis,HIV_total,HIV_male,HIV_female,HIV_youth_male,HIV_youth_female,HIV_therapy,diabetes
Afghanistan,,,56.3,62.7,0.3,,,189.0,0.1,71.0,29.0,0.1,0.1,13.0,9.2
Albania,70.0,39.9,18.2,,2.0,51.0,7.0,18.0,,,,,,,9.0
Algeria,,17.7,39.9,,3.7,30.0,1.0,69.0,0.1,54.0,46.0,0.1,0.1,81.0,6.7
American Samoa,12.6,,12.4,,,,,0.0,,,,,,,
Andorra,90.6,100.0,10.3,,5.8,38.0,29.0,3.0,,,,,,,7.7
Angola,,,31.8,55.5,1.3,,,355.0,2.0,31.0,69.0,0.3,1.2,27.0,4.5
Antigua and Barbuda,,,18.5,,5.7,,,6.0,,,,,,,13.1
Argentina,,,13.8,16.7,4.8,28.0,16.0,27.0,0.4,68.0,32.0,0.1,0.1,61.0,5.9
Armenia,86.5,48.2,32.2,14.4,1.9,52.0,2.0,31.0,0.2,66.0,34.0,0.1,0.1,53.0,6.1
Aruba,,,,,8.4,,,5.0,,,,,,,11.6
Australia,,75.6,8.6,,15.4,17.0,13.0,7.0,0.1,88.0,12.0,0.1,0.1,83.0,5.6
Austria,98.9,96.7,12.6,,6.9,31.0,28.0,7.0,,,,,,,6.6
Azerbaijan,73.6,,20.2,,3.9,43.0,0.0,63.0,,,,,,,6.1
Bahamas,,,17.7,,6.5,20.0,3.0,14.0,1.8,56.0,44.0,0.6,0.5,52.0,8.8
Bahrain,99.0,96.0,69.9,,23.5,38.0,6.0,11.0,,,,,,,15.6
Bangladesh,55.4,,60.1,55.1,0.5,45.0,1.0,221.0,0.1,64.0,36.0,0.1,0.1,22.0,9.2
Barbados,,,23.5,,4.5,15.0,2.0,0.0,1.5,66.0,34.0,0.3,0.2,50.0,13.4
Belarus,94.5,80.5,18.9,,6.7,46.0,11.0,31.0,0.5,57.0,43.0,0.1,0.1,59.0,5.0
Belgium,99.5,97.1,12.8,,8.3,31.0,25.0,9.0,,,,,,,4.6
Belize,,,23.1,10.8,1.4,,,30.0,1.9,53.0,47.0,0.8,1.0,28.0,17.1
Benin,,,38.4,61.5,0.6,12.0,1.0,56.0,1.0,39.0,61.0,0.2,0.4,61.0,1.0
Bermuda,,,11.7,,8.8,,,4.0,,,,,,,6.7
Bhutan,36.2,,37.2,,1.4,,,149.0,0.3,70.0,30.0,0.1,0.1,37.0,10.3
Bolivia,,22.9,21.4,43.5,1.9,,,108.0,0.3,68.0,32.0,0.1,0.1,44.0,6.8
Bosnia and Herzegovina,88.8,21.6,27.6,,6.4,48.0,30.0,25.0,0.1,85.0,15.0,0.1,0.1,67.0,9.0
Botswana,,,23.6,,3.4,34.0,6.0,275.0,20.3,43.0,57.0,4.9,8.9,83.0,5.8
Brazil,,49.3,12.7,22.3,2.6,18.0,10.0,45.0,0.5,,,,,66.0,10.4
Brunei Darussalam,,,5.9,,22.2,31.0,2.0,68.0,,,,,,,13.3
Bulgaria,96.9,64.4,19.3,,5.9,44.0,30.0,22.0,0.1,78.0,22.0,0.1,0.1,41.0,6.0
Burkina Faso,,,41.5,65.8,0.2,24.0,2.0,48.0,0.7,39.0,61.0,0.2,0.4,62.0,7.3
Burundi,,,38.7,57.9,0.0,,,111.0,1.0,38.0,62.0,0.5,0.6,80.0,5.1
Cabo Verde,,,33.4,,0.9,17.0,2.0,46.0,0.6,46.0,54.0,0.1,0.2,89.0,2.4
Cambodia,25.8,,25.2,55.1,0.4,34.0,2.0,302.0,0.5,47.0,53.0,0.1,0.1,81.0,6.4
Cameroon,,,73.2,37.8,0.3,,,186.0,3.6,34.0,66.0,0.7,1.8,52.0,6.0
Canada,98.9,82.3,6.5,,15.2,17.0,12.0,6.0,,,,,,69.0,7.6
Cayman Islands,,,,,8.9,,,5.0,,,,,,,6.8
Central African Republic,,,57.0,93.3,0.1,,,540.0,3.6,41.0,59.0,1.0,1.5,36.0,6.0
Chad,,,64.8,88.2,0.1,,,142.0,1.3,43.0,57.0,0.5,0.8,51.0,6.0
Channel Islands,92.0,90.0,,,,,,,,,,,,,3.9
Chile,98.6,77.5,20.9,,4.6,42.0,34.0,18.0,0.5,83.0,17.0,0.2,0.1,63.0,8.6
China,,72.1,52.2,25.2,7.5,48.0,2.0,61.0,,,,,,,9.2
Hong Kong SAR,100.0,91.8,,,6.4,,,67.0,,,,,,,4.5
Macao,100.0,,,,2.2,,,60.0,,,,,,,4.3
Colombia,73.2,17.0,16.6,13.1,1.8,14.0,5.0,33.0,0.4,80.0,20.0,0.1,0.1,73.0,7.4
Comoros,,,20.5,69.6,0.2,24.0,4.0,35.0,0.1,56.0,44.0,0.1,0.1,79.0,12.3
Congo_Dem_Rep,,,45.5,74.8,0.1,,,321.0,0.8,28.0,72.0,0.2,0.5,57.0,6.0
Congo_Rep,45.4,,45.7,46.9,0.7,52.0,2.0,375.0,2.6,33.0,67.0,0.5,1.6,35.0,6.0
Costa Rica,93.8,,15.7,5.5,1.6,17.0,6.0,10.0,0.4,80.0,20.0,0.1,0.1,49.0,9.1
Cote dIvoire,36.5,,26.7,56.0,0.5,,,142.0,2.6,39.0,61.0,0.6,1.2,55.0,2.4
Croatia,90.0,58.5,17.8,,4.0,40.0,34.0,8.0,0.1,89.0,11.0,0.1,0.1,75.0,5.4
Cuba,,44.3,19.7,,3.1,53.0,17.0,7.0,0.4,82.0,18.0,0.1,0.1,72.0,9.6
Curacao,,,,,37.7,,,6.0,,,,,,,11.6
Cyprus,99.6,75.5,17.0,,5.3,53.0,20.0,5.0,,,,,,,9.0
Czech Republic,97.9,94.5,16.1,,9.2,38.0,31.0,5.0,0.1,89.0,11.0,0.1,0.1,60.0,7.0
Denmark,96.7,94.8,10.1,,5.9,19.0,19.0,5.0,0.1,74.0,26.0,0.1,0.1,89.0,8.3
Djibouti,,36.4,45.9,65.6,0.8,25.0,2.0,260.0,1.2,42.0,58.0,0.4,0.6,30.0,5.1
Dominica,,,20.0,,1.9,,,6.0,,,,,,,11.6
